"","MFG"
"X9",-3.35145952662949
"X230",-1.61524176428475
"X240",-2.43172630818804
"X277",-2.21769476031284
"X285",-2.95629371339425
"X288",-8.00903011242866
"X290",-8.87279702604095
"X298",-3.72511683867987
"X303",-2.29726146355855
"X310",-6.89685125228026
"X314",-4.99681940174701
"X315",-3.64059610443629
"X323",1.40495620347486
"X330",-6.08272870260659
"X331",-4.93593727467903
"X333",-4.29932959015192
"X337",-5.84626350067305
"X338",-5.74648210319999
"X339",1.37970271597247
"X346",-5.08713287527532
"X351",-6.72343936723931
"X356",-6.1827930583406
"X360",-7.10086334566672
"X367",-3.20076797012357
"X375",-5.6740236069423
"X378",-4.48361743888862
"X402",-6.48326739820269
"X410",-0.866389982542575
"X412",-10.7144583942986
"X417",-8.97728538337784
"X418",-1.66851075100928
"X419",-4.59119368378296
"X420",-7.37899315272149
"X423",-7.96029813144927
"X424",-8.96397733859836
"X425",-3.03177383866216
"X428",-4.20552159372562
"X429",-2.90276915239539
"X431",-10.427020033634
"X436",-5.04673205238587
"X437",-6.7732716388833
"X438",-7.2077256599545
"X439",-4.50703747300451
"X448",-8.89487123273891
"X452",1.38477428106029
"X454",-6.51518522712504
"X465",-5.94556743654406
"X466",-11.3992331034966
"X467",-13.1199214151696
"X470",-3.63020946776141
"X471",0.125479728604735
"X473",-7.24027577812616
"X475",-8.72178558450266
"X476",1.54281734665809
"X479",-10.5835759643851
"X486",-0.517762932892141
"X490",-6.20510933889755
"X491",-2.88418514913966
"X492",-9.59998978142828
"X494",-9.30501526791691
"X495",0.122436146349076
"X497",-9.57128245132325
"X504",-7.30750682911513
"X506",-8.75999688865687
"X511",0.0948032383121595
"X513",-9.18242464104167
"X516",-6.17028695632638
"X526",1.10915644572901
"X528",0.404265068143393
"X530",-0.755712548785375
"X531",-10.3300322639204
"X534",-8.27270260930475
"X535",0.921837648142783
"X537",-6.68493977040505
"X538",-5.57477112135147
"X547",-5.90122174968086
"X549",-8.77031529324601
"X550",-0.876684292946166
"X553",-7.36943409014934
"X554",-7.95218700880626
"X556",-6.5766137141005
"X557",-0.979510087889895
"X558",-5.29133384936011
"X564",-6.51559775384152
"X566",1.74971105211209
"X568",-10.4520038359357
"X571",-9.12907836695176
"X576",-3.26849510091918
"X577",-5.54505149389639
"X579",0.909325377155471
"X580",-4.63791176022973
"X582",-6.31968908738776
"X583",-5.63352195565043
"X586",0.0655536727560691
"X589",-7.70793191209628
"X591",-5.37551330330077
"X592",-7.34367031911753
"X596",-6.67941355688267
"X602",-1.73641532394226
"X604",-3.62625579120732
"X606",-5.26839019202327
"X609",-3.78700002772078
"X614",-5.99623822919958
"X615",-1.56106966262771
"X616",-7.74773661747735
"X617",-6.45718694323132
"X618",-3.00250473493272
"X619",-5.71316247201259
"X620",-0.904477323998599
"X621",-4.01128462683515
"X622",-5.55368380488872
"X623",-10.588227800396
"X626",-5.74288347037425
"X630",-2.56131801286323
"X632",-9.08468500771698
"X634",-7.23754421069997
"X635",-0.703373822100177
"X639",-5.47630970026584
"X642",-5.72207457138572
"X643",-10.3669798179046
"X644",-0.198741976693408
"X647",-7.25949520830929
"X648",1.1813344603612
"X654",-6.27667851001706
"X664",-5.2242742832577
"X665",-4.05774669499813
"X666",-2.64363495525165
"X667",-7.6306378282891
"X669",-0.731814598639443
"X672",-9.2564685730276
"X673",-0.434021528257197
"X674",-7.30871596426556
"X675",-2.30350095825872
"X676",-6.51711107914803
"X678",-2.55313267812725
"X679",-7.69610419864196
"X680",1.47426387933313
"X683",-8.74972245745818
"X686",0.996652898867164
"X688",-2.94639431308709
"X689",-7.66835292655887
"X690",-4.40725361686152
"X691",-7.82903263101886
"X694",-3.94543198900074
"X695",-2.71076530959899
"X696",1.22595094389481
"X697",1.08998013733206
"X699",-7.62596842580551
"X701",-3.23355550396103
"X702",-7.41871819336465
"X704",-5.94126004831677
"X705",-11.6724770547467
"X706",-3.42927053017134
"X707",-5.79447569276969
"X710",0.81240868911512
"X711",-5.33244961416934
"X712",-6.47395224017461
"X714",-2.95369172209776
"X715",-1.56911423811404
"X717",-6.0214999127153
"X719",-4.06603529017494
"X720",-3.75740136599571
"X727",-6.25799555203446
"X728",-6.34401079901475
"X731",-5.42334839903874
"X732",1.52114347124898
"X733",-5.59423171001883
"X735",-8.64786759280475
"X736",-7.19966525750006
"X737",0.629531619309017
"X738",-7.19258964292529
"X739",1.16495993641508
"X741",-1.48820511296543
"X742",-5.05180957849577
"X743",-3.79883053788235
"X747",-6.0410453341573
"X750",-11.4461826241685
"X752",-11.4377802189106
"X753",-3.35927651287541
"X755",-0.466734444516844
"X759",-5.23664753639908
"X761",2.05218599716167
"X763",0.529504401944339
"X771",0.695209512933591
"X774",-9.99983526667966
"X776",-3.22554054439605
"X780",-3.29238727270424
"X784",-3.04313807518193
"X787",-0.0754197100624825
"X788",0.422941651694424
"X789",-1.45831398410726
"X790",-8.30583740958017
"X792",-4.84963014657665
"X793",0.0219942181555091
"X794",-7.8155303402259
"X798",-4.0136833123261
"X799",-5.03761731972325
"X802",2.05139087235574
"X803",1.64692290881327
